,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
0,"Underlying the debate in America over abortion is a big, difficult question.","In the months since the Supreme Court overturned Roe vs. Wade, politicians and activists have attempted to squeeze concrete answers from an eternal question of human existence: When does life begin? This question goes far beyond politics, law and science into the heart of human experience.",How Do You Think About the Question of When Life Begins? Tell Us.,2023-01-01T00:05:59+0000,article,U.S.,News,Abortion;internal-open-access
1,"The question is at the heart of the human experience — and the nation’s abortion debate. An exploration through science, theology and philosophy.","The question is at the heart of the human experience — and the nation’s abortion debate. An exploration through science, theology and philosophy.",When Does Life Begin?,2023-01-01T00:15:57+0000,multimedia,U.S.,Interactive Feature,Pregnancy and Childbirth;Embryos (Human);Biology and Biochemistry;Anatomy and Physiology;Religion and Belief;Abortion;United States;Philosophy;internal-sub-only
2,"Texas Christian returned two interceptions for touchdowns, just part of a zany back-and-forth upset of Michigan, 51-45, which put the Horned Frogs in the national championship game.","GLENDALE, Ariz. — Sonny Dykes is not the ideal of the jut-jawed football coach. He opens his program up, instead of building walls around it. He freely acknowledges there were times when he was a younger coach — several, in fact — that the pressure of winning games became suffocating.",T.C.U. Upends Michigan in Wild Playoff Semifinal,2023-01-01T01:27:54+0000,article,Sports,News,"Football (College);Big 12 Conference;Big Ten Conference;University of Michigan;Texas Christian University;Dykes, Daniel (Sonny) (1969- );Duggan, Max (2001- );Harbaugh, Jim"
3,"Hours before Russian troops began withdrawing from the suburban town, a Russian soldier left a trail of blood and devastated lives in a last paroxysm of violence.","BUCHA, Ukraine — On one of the last nights of the Russian occupation of Bucha, a lone Russian soldier, drunk or high, went out looking for wine. He forced a 75-year-old resident at gunpoint along the street and made him bang on the doors of private homes.","In Bucha, a Final Rampage Served as a Coda to a Month of Atrocities",2023-01-01T04:00:10+0000,article,World,News,"Bucha (Ukraine);War Crimes, Genocide and Crimes Against Humanity;Civilian Casualties;Russian Invasion of Ukraine (2022);Defense and Military Forces;Putin, Vladimir V;Kyiv (Ukraine);Russia"
4,"Georgia scored in the final minute of the game, and Ohio State missed a field goal in the first minute of 2023.","ATLANTA — The Georgia Bulldogs appeared very nearly finished, just as they had looked for much of Saturday night.",Georgia Downs Ohio State in Semifinal on Last-Minute Touchdown,2023-01-01T05:06:06+0000,article,Sports,News,"Football (College);College Football Playoff National Championship;Playoff Games;PEACH BOWL (FOOTBALL GAME);University of Georgia;Ohio State University;Bennett, Stetson (1997- );Stroud, C J (2001- );Smart, Kirby;Day, Ryan (1979- )"
5,Pope Benedict’s legacy will be felt across decades or even centuries. ,"The first pope to resign was Celestine V, born Pietro Da Morrone, who was living the life of a pious hermit when he was elevated to the papacy in 1294, in his 80s, to break a two-year deadlock in the College of Cardinals. Feeling overmastered by the job, he soon resigned in the expectation that he could return to his monastic existence. Instead, he was imprisoned by his successor, Boniface VIII, who feared that some rival faction might make Celestine an antipope.",The First Afterlife of Pope Benedict XVI,2023-01-01T06:00:05+0000,article,Opinion,Op-Ed,Christians and Christianity;Roman Catholic Church;Benedict XVI;Francis
6,"Quotation of the Day for Monday, January 1, 2023.",“She rattled a lot of cages before women were even allowed into the zoo.”,"Quotation of the Day: ‘Today Girl’ to TV Icon, Walters Traversed News and Celebrity",2023-01-01T06:29:21+0000,article,Corrections,News,
7,"No corrections  appeared in print on Sunday, Jan. 1, 2023","An article last Sunday about investors who find roboadvisers’ financial advice lacking misstated the title of Brian Ream of CLA and referred incorrectly to CLA’s operations. Mr. Ream is a principal, not an adviser and manag­ing partner, and CLA is a wealth advisory, not management, firm.","No Corrections: Jan. 1, 2023",2023-01-01T06:32:36+0000,article,Corrections,Correction,
8,Feeling stuck on today’s puzzle? We can help.,"SUNDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below. For more Spelling Bee conversation, check out Deb Amlen’s weekly humor column, “Diary of a Spelling Bee Fanatic.”",Spelling Bee Forum,2023-01-01T08:00:04+0000,article,Crosswords & Games,News,Spelling Bee (Game)
9,"More than offering prescriptions, suggestions — good or bad — about how we should live broaden our worldview and put us in touch with our desires.","Some chapters of life attract advice. After a breakup, friends who are typically silent about your romances might urge you to get back on dating apps and block your ex on social media. Starting a family gives rise to opinions about prenatal vitamins and stroller brands; interviewing for a new job might prompt advice about salary negotiations and work-life balance.",How Should You Be? Try Taking Suggestions.,2023-01-01T08:00:11+0000,article,Style,News,"Philosophy;Ethics (Personal);Callard, Agnes (1976- )"
